Name,Price,Ratting
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹24,190",4.4
SAMSUNG 253 L Frost Free Double Door 1 Star Refrigerator,"₹19,690",4.4
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹11,990",4.3
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹17,790",4.5
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator,"₹15,490",4.3
LG 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,090",4.4
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,290",4.5
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹25,490",4.3
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹23,490",4.4
LG 190 L Direct Cool Single Door 4 Star Refrigerator,"₹15,390",4.4
SAMSUNG 192 L Direct Cool Single Door 1 Star Refrigerator,"₹11,390",4.3
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹17,590",4.4
Haier 190 L Direct Cool Single Door 2 Star Refrigerator,"₹11,399",4.2
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator  with Digi Touch Cool,"₹15,390",4.3
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹12,890",4.4
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,"₹13,690",4.4
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹14,690",4.4
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹12,490",4.3
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,"₹13,690",4.5
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹14,690",4.4
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,"₹14,490",4.4
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,"₹13,799",4.4
